TIME,P,TAVG,PSGA,PSGB,LVPZ,TBLD,RM1,RBLK
1290,157.0993958,299.0453186,69.58061981,69.58066559,33.49945068,40,0.0011,1720.970093
1300,157.092865,299.0224915,69.55775452,69.55780029,33.4668541,40,0.0011,1734.305054
1310,157.0974121,299.0012817,69.53503418,69.53507996,33.41853714,40,0.0011,1747.640015
1320,157.0883636,298.9790344,69.51261139,69.51265717,33.39573288,40,0.0011,1760.974976
1330,157.1036987,298.9561157,69.48988342,69.48992157,33.34976578,40,0.0011,1774.309937
1340,157.0860901,298.9346619,69.46665192,69.46669006,33.32045364,40,0.0011,1787.644897
1350,157.0991364,298.9156799,69.44503784,69.44508362,33.36733627,40,0.0011,1800.979858
1360,157.1079559,298.8915405,69.42445374,69.42449951,33.45056534,40,0.0011,1814.314819
1370,157.1083374,298.8671265,69.39936829,69.39941406,33.40504074,40,0.0011,1827.64978
1380,157.0910339,298.8478699,69.37647247,69.37652588,33.36817551,40,0.0011,1840.984741
1390,157.0864868,298.8255615,69.35455322,69.35459137,33.3323288,40,0.0011,1854.319702
1400,157.086731,298.8148804,69.33496857,69.33500671,33.31909561,40,0.0011,1867.654663
1410,157.0803375,298.8102722,69.32381439,69.32385254,33.29646301,40,0.0011,1880.989624
1420,157.1157074,298.8035278,69.31479645,69.31482697,33.26955795,40,0.0011,1894.324585
1430,157.1151733,298.8041382,69.31015015,69.31018829,33.25824738,40,0.0011,1907.659546
1440,157.0947876,298.8037109,69.30794525,69.3079834,33.23743057,40,0.0011,1920.994507
1450,157.1010742,298.8037109,69.30651855,69.30654907,33.22517395,40,0.0011,1934.329468
1460,157.1030426,298.8036804,69.30603027,69.30606842,33.20059204,40,0.0011,1947.664429
1470,157.0619354,298.8038635,69.3060379,69.30606842,33.33611679,40,0.0011,1960.99939
1480,157.0687714,298.8066711,69.30815125,69.30818939,33.41928101,40,0.0011,1974.334351
1490,157.09935,298.8027954,69.30773926,69.3077774,33.49017334,40,0.0011,1987.669312
1500,157.0940247,298.8023071,69.30503845,69.30506897,33.47211075,40,0.0011,2001.004272
1510,157.0984802,298.8048401,69.30512238,69.30515289,33.45832062,40,0.0011,2014.339233
1520,157.0930939,298.8037109,69.30558777,69.30562592,33.44029236,40,0.0011,2027.674194
1530,157.0964508,298.8033142,69.30534363,69.30538177,33.43442154,40,0.0011,2041.009155
1540,157.0935516,298.8034668,69.30509186,69.30512238,33.41986084,40,0.0011,2054.344238
1550,157.0996704,298.8045349,69.30516052,69.30519104,33.41576385,40,0.0011,2067.679199
1560,157.0957184,298.8039551,69.30510712,69.30513763,33.40180969,40,0.0011,2081.01416
1570,157.093689,298.8039856,69.30493927,69.30496979,33.38985825,40,0.0011,2094.349121
1580,157.097168,298.8044739,69.30502319,69.30505371,33.3793335,40,0.0011,2107.684082
1590,157.0944977,298.8039246,69.30493927,69.30497742,33.36826706,40,0.0011,2121.019043
1600,157.0981445,298.8042908,69.30490112,69.30493927,33.35937119,40,0.0011,2134.354004
1610,157.0960999,298.8039551,69.30483246,69.30486298,33.35069656,40,0.0011,2147.688965
1620,157.0997467,298.8042908,69.30484009,69.30487823,33.34355164,40,0.0011,2161.023926
1630,157.0975494,298.8039246,69.30477142,69.30480957,33.33633423,40,0.0011,2174.358887
1640,157.0897522,298.8036804,69.30472565,69.30476379,33.3103447,40,0.0011,2187.693848
1650,157.0969391,298.8036194,69.30480957,69.30484772,33.31626511,40,0.0011,2201.028809
1660,157.0922852,298.8036194,69.30470276,69.30474091,33.30035019,40,0.0011,2214.36377
1670,157.0974274,298.8040161,69.30464935,69.3046875,33.29657745,40,0.0011,2227.69873
1680,157.101181,298.8040466,69.30474854,69.30478668,33.29336166,40,0.0011,2241.033691
1690,157.1055908,298.8041992,69.30474091,69.30477905,33.2908287,40,0.0011,2254.368652
1700,157.1033325,298.8035583,69.30470276,69.30474091,33.27336884,40,0.0011,2267.703613
1710,157.1074371,298.8037109,69.30472565,69.30476379,33.27225876,40,0.0011,2281.038574
1720,157.11203,298.8039246,69.30467987,69.30471802,33.27144623,40,0.0011,2294.373535
1730,157.1116486,298.8070984,69.30566406,69.30570221,33.38816452,40,0.0011,2307.708496
